part_number,name,description
1001,Hex Bolt,Steel hex bolt 1/4"-20 x 1" zinc-plated for general fastening
1002,Machine Screw,Stainless steel machine screw flat head #10-32 x 3/4"
1003,Washer,Split lock washer 1/4" for vibration resistance
1004,Nut,Hex nut 1/4"-20 coarse thread zinc-plated
1005,Tubing,Clear PVC tubing 1/2" ID for low-pressure fluid transfer
1006,Elbow Fitting,90-degree brass elbow for 1/4" compression fittings
1007,Drill Bit,High-speed steel drill bit 3/8" diameter for metal
1008,Gasket,Neoprene rubber gasket for flange sealing 2" diameter
1009,Cable Tie,UV-resistant nylon cable tie 6" black
1010,Bearing,Sealed ball bearing 8mm ID x 22mm OD for high-speed shafts
